11;120,33,33
44;255,153,85
45;200,55,55
47;222,135,135
46;160,90,44
9;255,0,0
8;170,136,0
6;145,111,111
4;255,0,255
3b;128,0,128
1;0,0,255
2;0,255,255
5L;0,128,128
PFt;0,128,0
PFm;136,170,0
PGa;222,205,135
PGp;145,124,111
V3A;147,172,147
V3d;0,212,170
V4v;55,72,62
FG2;175,175,233
37L;90,44,160
20;229,213,255
21;55,55,72
22;190,183,200
38;128,179,255
10L;192,134,33
10M;44,86,44
32;211,95,141
36;255,87,102
37M;42,255,42
FG1;190,200,183
V3v;255,170,204
V2d;77,170,204
V2v;77,92,59
V1;110,211,200
31;0,65,212
23;255,255,0
5M;128,50,77
3a;39,232,157
